year,ISO_code,Country,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2015,COD,"Congo, Dem. R.",5.78,134,4,7.488235294,8.850408719,8,4,7.084661003,2.003546158,3.265770872,4.565217495,2.5,1.666666667,0.970058556,5.388254322,4.444444577,5.319148699,0.585365854,2.653119211,9.295714082,7.795625816,9.48,5,7.892834974,7.750755556,1.605263154,10,2.43707819,5.448274225,6.333333333,5.815789474,5.254001212,5.80104134
2015,COG,"Congo, Rep. Of",4.81,157,4,5.576470588,9.898215245,0,3,4.618671458,,3.7,,5,3.333333333,3.011738204,4.917393719,,,0.707317073,3.408225775,9.893404395,4.107529717,9.0972,0,5.774533528,7.296488889,0,10,1.543610258,4.710024787,6.05223256,5.657673442,4.901083301,5.536996435
2015,CRI,Costa Rica,7.51,36,1,5.391176471,8.50132522,10,6.5,7.598125423,6.962389601,4.298527453,6.008954561,10,5,3.523501568,8.523296281,5.790598392,5.369773557,0.871794872,5.76898009,9.410246699,9.786615516,9.840663004,10,9.759381305,8.001155556,6.07009314,10,7.896979841,7.992057134,6.709333333,6.194095396,6.395913008,6.433113912
2015,CIV,Cote d'Ivoire,5.93,129,4,7.170588235,9.958248538,4,2,5.782209193,4.291210609,4.837725315,5.402195014,3.333333333,4.166666667,3.974267539,6.934817472,5.083333651,4.630969013,0.923076923,4.557106689,8.909033937,9.347679748,9.752511348,0,7.002306258,6.185511111,2.929833805,10,3.216520705,5.582966405,8.693333333,5.741889621,5.697520385,6.710914446
2015,HRV,Croatia,7.04,73,2,4.438235294,4.297314868,8,2,4.68388754,3.541369929,2.13799665,4.681171465,8.333333333,7.5,5.139086793,7.184691089,6.448412736,7.628286005,0.948717949,5.693974997,7.628320518,9.591485047,9.907100199,10,9.281726441,8.629288889,8.332987579,10,5.749774894,8.17801284,9.406666667,6.4458253,6.199017948,7.350503305
2015,CYP,Cyprus,7.69,22,1,6.338235294,6.235337445,10,6.5,7.268393185,6.100780953,3.776272009,5.443843233,8.333333333,8.333333333,4.003515462,6.411309995,5.755208333,7.20717173,0.897435897,5.836172166,9.747104113,9.417311242,9.580600462,10,9.686253954,8.360586579,7.746910291,10,6.771918264,8.219853784,9.455333333,6.047535689,6.813516303,7.438795108
2015,CZE,Czech Rep.,7.49,37,1,3.126470588,3.353893802,8,6.5,5.245091097,5.71271546,3.467737299,5.856587657,10,8.333333333,3.85475774,8.155976401,5.911949476,7.112138141,0.923076923,6.239871315,8.851518651,9.51924138,9.931043512,10,9.575450886,8.360586579,8.288858842,10,6.188277279,8.209430675,9.770333333,8.361823444,6.42571,8.185955592
2015,DNK,Denmark,7.75,16,1,1.402941176,4.53071545,8,2.5,4.108414157,8.616286568,6.100836522,7.960530965,10,10,6.18505645,9.727176308,8.286163807,7.345798611,1,8.246872137,8.790115297,9.737814698,9.909593169,10,9.609380791,8.360586579,7.953199218,10,7.349012803,8.41569965,9.752666667,7.389169237,7.914660642,8.352165515
2015,DOM,Dominican Rep.,7.24,61,2,7.814705882,9.585596595,6,8,7.850075619,2.497543413,2.856078433,5.037881173,5,3.333333333,4.173605074,7.999044982,2.264957428,3.464285571,1,4.069636601,9.19085204,9.009654182,9.832650731,10,9.508289238,8.618844444,7.25257536,10,6.858357096,8.182444225,8,6.233447422,5.603052369,6.612166597
2015,ECU,Ecuador,6.09,124,4,6.211764706,9.591280654,2,5.5,5.82576134,1.531141114,2.479120419,4.382351031,2.5,4.166666667,4.380510817,8.591535377,4.855072498,4.551830227,0.871794872,3.893149081,9.360712359,8.826497783,9.205956168,5,8.098291578,6.305777778,4.214037466,10,5.608336293,6.532037884,8.503333333,5.052599545,4.70267146,6.086201446
2015,EGY,Egypt,5.77,138,4,8.067647059,7.070287241,2,7,6.034483575,5.911318115,4.035330321,4.90322096,1.666666667,5,3.408055189,8.701690132,3.890328827,3.19538785,0.538461538,3.479657954,7.693458483,9.497748735,7.92850207,10,8.779927322,4.973333333,3.52780312,9.182630907,4.700580771,5.596087033,4,5.008250225,5.907023983,4.971758069
2015,SLV,El Salvador,7.14,69,2,8.338235294,9.472089148,8,8,8.452581111,3.738130076,2.727632123,4.681659812,4.166666667,2.5,3.833383955,8.165020936,2.118055423,1.32670406,1,3.695250339,9.413547444,9.071876878,9.853873266,10,9.584824397,8.186666667,6.502024978,10,5.951699184,7.660097707,8.323666667,4.735400439,5.916627165,6.325231424
2015,EST,Estonia,7.93,10,1,3.511764706,6.061366019,7,7,5.893282681,7.85616258,5.716304294,7.572090529,8.333333333,6.666666667,5.930983003,9.504907725,8.449612459,7.556614777,1,7.509630596,8.506209755,9.542467824,9.908646669,10,9.489331062,8.904586579,8.252210387,10,6.997276302,8.538518317,10,6.294456744,8.293945499,8.196134081
2015,ETH,Ethiopia,5.55,147,4,8.382352941,9.105664995,4,5,6.622004484,4.749940391,4.724080214,5.046143248,1.666666667,7.5,5.546758592,7.012101103,4.79919672,5.157668371,0.794871795,4.607092409,8.793816837,5.197265051,7.973177071,0,5.49106474,5.232266667,3.046479116,10,1.60826699,4.971753193,5.358333333,7.221986163,5.547688737,6.042669411
2015,FJI,Fiji,6.82,84,3,4.297058824,9.462710641,6,5,6.189942366,,4.8,,7.9,,5.10906166,7.709818901,,,0.918918919,6.121082837,6.990157126,8.659083566,9.725835345,0,6.343769009,5.161111111,6.42368605,10,5,6.64619929,9.635183017,9.009969773,7.817625833,8.820926208
2015,FIN,Finland,7.71,20,1,2.764705882,3.245496168,8,2.5,4.127550513,9.571012014,7.922024996,9.117325408,10,10,6.654143475,8.080379451,9.645389716,8.943212886,1,8.881498661,8.740463109,9.717995338,9.958567126,10,9.604256393,8.599266667,8.233814764,10,6.127553211,8.24015866,9.411333333,5.181915002,8.431846023,7.675031453
2015,FRA,France,7.35,50,2,2.858823529,2.418467067,8,3.5,4.194322649,7.117322569,6.149563446,7.416049321,9.166666667,8.333333333,6.430501438,6.390856768,7.930402756,6.326594974,0.948717949,7.065324981,9.245753597,9.825038153,9.992439253,10,9.765807751,8.599266667,7.68671339,10,6.706257958,8.248059503,9.430666667,5.704394879,7.347625446,7.494228997
2015,GAB,Gabon,5.78,134,4,3.764705882,9.809264305,8,3.5,6.268492547,3.433124849,3.636299365,5.147555158,3.333333333,5,2.915889045,4.601910547,4.898989995,5.933838061,0.804878049,3.900636296,9.580032766,6.206199271,9.9404,0,6.431658009,6.283,3.698870375,10,2.785869131,5.691934877,7.776,7.450682561,4.618013151,6.614898571
2015,GMB,"Gambia, The",7.22,63,2,8.323529412,9.57951005,4,8,7.475759865,4.179591124,4.85454355,5.363159297,3.333333333,5.833333333,5.094458646,6.254444922,6.549019814,7.120527761,0.948717949,5.259634324,8.892237362,9.218675489,8.6384,10,9.187328213,6.476933333,5.008558347,10,8.029849074,7.378835189,6.333333333,8.09073926,5.921389913,6.781820836
2015,GEO,Georgia,7.98,9,1,5.658823529,6.882547545,8,10,7.635342769,5.04900416,4.744157956,6.29102223,5.3,,6.499992719,9.981100763,7.185184956,7.494759352,1,6.568152767,8.306716038,8.455309155,9.199284359,10,8.990327388,9.309555556,8.025555423,10,7.321564251,8.664168807,9.821666667,6.450825927,7.854025162,8.042172585
