FID,Region,country,Plant,NumReactor,Latitude,Longitude
107,Europe - Western,UNITED KINGDOM,HEYSHAM,4,54.029927,-2.914384
108,Asia - Far East,JAPAN,HIGASHI DORI,1,41.188056,141.390278
109,Europe - Western,UNITED KINGDOM,HINKLEY POINT A,2,51.208739,-3.133743
110,Europe - Western,UNITED KINGDOM,HINKLEY POINT B,2,51.209034,-3.127477
111,Asia - Far East,CHINA,HONGYANHE,4,39.801944,121.475
112,America - Northern,UNITED STATES OF AMERICA,HOPE CREEK,1,39.4678,-75.5381
113,America - Northern,UNITED STATES OF AMERICA,HUMBOLDT BAY,1,40.741322,-124.209044
114,Europe - Western,UNITED KINGDOM,HUNTERSTON A,2,55.720224,-4.896656
115,Europe - Western,UNITED KINGDOM,HUNTERSTON B,2,55.722222,-4.89
116,,LITHUANIA,IGNALINA,2,55.604444,26.56
117,Asia - Far East,JAPAN,IKATA,3,33.491289,132.309631
118,America - Northern,UNITED STATES OF AMERICA,INDIAN POINT,3,41.2714,-73.9525
119,Europe - Western,GERMANY,ISAR,2,48.604532,12.295608
120,Europe - Western,SPAIN,JOSE CABRERA,1,40.349167,-2.884444
121,Asia - Far East,JAPAN,JPDR,1,36.458461,140.606342
122,Asia - Middle East and South,INDIA,KAIGA,4,14.865026,74.438709
123,Asia - Middle East and South,INDIA,KAKRAPAR,4,21.236525,73.350193
124,Europe - Central and Eastern,RUSSIAN FEDERATION,KALININ,4,57.90525,35.062775
125,Asia - Middle East and South,PAKISTAN,KANUPP,1,24.845343,66.788517
126,Asia - Far East,JAPAN,KASHIWAZAKI KARIWA,7,37.431451,138.597852
127,America - Northern,UNITED STATES OF AMERICA,KEWAUNEE,1,44.3431,-87.5361
128,Europe - Central and Eastern,UKRAINE,KHMELNITSKI,4,50.302462,26.646865
129,Europe - Western,GERMANY,KNK,1,49.1,8.433
130,Africa,SOUTH AFRICA,KOEBERG,2,-33.676152,18.433098
131,Europe - Central and Eastern,RUSSIAN FEDERATION,KOLA,4,67.466811,32.473832
132,Asia - Far East,"KOREA, REPUBLIC OF",KORI,8,35.321269,129.294517
133,Europe - Central and Eastern,BULGARIA,KOZLODUY,6,43.742627,23.775239
134,Europe - Central and Eastern,SLOVENIA,KRSKO,1,45.937981,15.516218
135,Europe - Western,GERMANY,KRUEMMEL,1,53.41,10.408889
136,Asia - Middle East and South,INDIA,KUDANKULAM,2,8.168889,77.7125
137,Asia - Far East,"TAIWAN, CHINA",KUOSHENG,2,25.202723,121.662638
138,Europe - Central and Eastern,RUSSIAN FEDERATION,KURSK,5,51.676772,35.606607
139,America - Northern,UNITED STATES OF AMERICA,LACROSSE,1,43.560062,-91.231485
140,America - Latin,MEXICO,LAGUNA VERDE,2,19.720238,-96.405252
141,America - Northern,UNITED STATES OF AMERICA,LASALLE,2,41.2439,-88.6708
142,Europe - Western,ITALY,LATINA,1,41.42529,12.807246
143,Europe - Western,SWITZERLAND,LEIBSTADT,1,47.601314,8.183893
144,Europe - Central and Eastern,RUSSIAN FEDERATION,LENINGRAD,4,59.846021,29.041052
145,Europe - Central and Eastern,RUSSIAN FEDERATION,LENINGRAD-2,2,59.8305,29.0571
146,America - Northern,UNITED STATES OF AMERICA,LIMERICK,2,40.226339,-75.586916
147,Asia - Far East,CHINA,LINGAO,4,22.60611,114.553247
148,Europe - Western,GERMANY,LINGEN,1,52.482247,7.304518
149,Europe - Western,FINLAND,LOVIISA,2,60.370582,26.346856
150,Europe - Western,SWITZERLAND,LUCENS,1,46.692778,6.8275
151,Asia - Far East,"TAIWAN, CHINA",LUNGMEN,2,25.038611,121.924167
152,Asia - Far East,"TAIWAN, CHINA",MAANSHAN,2,21.958257,120.751748
153,Asia - Middle East and South,INDIA,MADRAS,3,12.553056,80.173333
154,America - Northern,UNITED STATES OF AMERICA,MAINE YANKEE,1,43.954023,-69.694494
155,Europe - Western,FRANCE,MARCOULE,3,44.143333,4.709444
156,America - Northern,UNITED STATES OF AMERICA,MCGUIRE,2,35.4322,-80.9483
